  2.1440  2.1255  5.0000  0.999008E+00  0.346821E-01  0.575289E+09  0.000000E+00  0.000000E+00  0.575289E+09  0.000000E+00  0.000000E+00
  2.1440  2.1245  5.0000  0.947334E+00  0.346658E-01  0.109318E+08  0.000000E+00  0.000000E+00  0.109318E+08  0.000000E+00  0.000000E+00
  2.1440  2.1235  5.0000  0.900702E+00  0.346494E-01  0.527825E+07  0.000000E+00  0.000000E+00  0.527825E+07  0.000000E+00  0.000000E+00
  2.1440  2.1225  5.0000  0.858398E+00  0.346331E-01  0.350309E+07  0.000000E+00  0.000000E+00  0.350309E+07  0.000000E+00  0.000000E+00
  2.1440  2.1215  5.0000  0.819863E+00  0.346168E-01  0.263219E+07  0.000000E+00  0.000000E+00  0.263219E+07  0.000000E+00  0.000000E+00
  2.1440  2.1205  5.0000  0.784608E+00  0.346005E-01  0.211337E+07  0.000000E+00  0.000000E+00  0.211337E+07  0.000000E+00  0.000000E+00
  2.1440  2.1195  5.0000  0.752223E+00  0.345842E-01  0.176831E+07  0.000000E+00  0.000000E+00  0.176831E+07  0.000000E+00  0.000000E+00
  2.1440  2.1185  5.0000  0.722385E+00  0.345679E-01  0.152200E+07  0.000000E+00  0.000000E+00  0.152200E+07  0.000000E+00  0.000000E+00
  2.1440  2.1175  5.0000  0.694799E+00  0.345515E-01  0.133713E+07  0.000000E+00  0.000000E+00  0.133713E+07  0.000000E+00  0.000000E+00
  2.1440  2.1165  5.0000  0.669214E+00  0.345352E-01  0.119312E+07  0.000000E+00  0.000000E+00  0.119312E+07  0.000000E+00  0.000000E+00
  2.1440  2.1155  5.0000  0.645429E+00  0.345189E-01  0.107775E+07  0.000000E+00  0.000000E+00  0.107775E+07  0.000000E+00  0.000000E+00
  2.1440  2.1145  5.0000  0.623257E+00  0.345026E-01  0.983176E+06  0.000000E+00  0.000000E+00  0.983176E+06  0.000000E+00  0.000000E+00
  2.1440  2.1135  5.0000  0.602539E+00  0.344863E-01  0.904211E+06  0.000000E+00  0.000000E+00  0.904211E+06  0.000000E+00  0.000000E+00
  2.1440  2.1125  5.0000  0.583131E+00  0.344700E-01  0.837247E+06  0.000000E+00  0.000000E+00  0.837247E+06  0.000000E+00  0.000000E+00
  2.1440  2.1115  5.0000  0.564923E+00  0.344536E-01  0.779748E+06  0.000000E+00  0.000000E+00  0.779748E+06  0.000000E+00  0.000000E+00
  2.1440  2.1105  5.0000  0.547801E+00  0.344373E-01  0.729816E+06  0.000000E+00  0.000000E+00  0.729816E+06  0.000000E+00  0.000000E+00
